render,scene,backend,integrator,sampler,resolution,spp,max depth,spectrum,time consumption
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,17.5s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,31.8s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,26.6s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,66.6s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,20.2s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,35.9s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,12,RGB,22.1s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,12,Spectral,31.7s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,12,RGB,21.1s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,12,Spectral,28.3s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,RGB,30.6s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,Spectral,46.1s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,16,RGB,28.8s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,16,Spectral,37.9s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,12,RGB,23.3s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,12,Spectral,47.3s
LuisaRender,staircase,directX,MegaPath,Independent,"(720, 1280)",1024,12,RGB,15.7s
LuisaRender,staircase,directX,MegaPath,Independent,"(720, 1280)",1024,12,Spectral,24.7s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,16,RGB,32.2s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,16,Spectral,64.4s
LuisaRender,staircase,directX,MegaPath,Independent,"(720, 1280)",1024,16,RGB,21.1s
LuisaRender,staircase,directX,MegaPath,Independent,"(720, 1280)",1024,16,Spectral,32.2s
