time, time_forward, time_backward, loss
1344.7511949539185, 572.984607219696, 771.7665877342224, 0.0067174416
1345.0111379623413, 572.3655960559845, 772.6455419063568, 0.008146217
1344.1181190013885, 572.5640230178833, 771.5540959835052, 0.00615749
1344.7753059864044, 572.3794569969177, 772.3958489894867, 0.0077351155
1345.6448380947113, 572.7371499538422, 772.9076881408691, 0.005691413
1344.267904996872, 572.1145520210266, 772.1533529758453, 0.0069222236
1345.7590680122375, 573.0423212051392, 772.7167468070984, 0.0069304025
1344.8746569156647, 572.895026922226, 771.9796299934387, 0.006707125
1343.7741701602936, 572.1805119514465, 771.593658208847, 0.0073392387
1345.5572941303253, 572.9606850147247, 772.5966091156006, 0.006610931
1346.5936858654022, 573.2561099529266, 773.3375759124756, 0.007871168
1345.3445682525635, 572.8160512447357, 772.5285170078278, 0.0059572174
